Symbol,Spot,ATM Strike,CE Premium,PE Premium,Expiry
NIFTY,25424.65,25400,222.1,143.0,2026-03-02
BANKNIFTY,61047.3,61000,1100.0,675.2,2026-03-30
FINNIFTY,28295.1,28300,624.35,400.5,2026-03-30
SENSEX,82225.92,82200,849.0,563.7,2026-03-05
RELIANCE,1428.8,1420,43.0,24.05,2026-03-30
HDFCBANK,910.5,900,30.7,12.5,2026-03-30
ICICIBANK,1384.8,1400,21.25,25.65,2026-03-30
INFY,1275.5,1280,63.25,55.0,2026-03-30
TCS,2573.7,2580,110.0,90.9,2026-03-30
ITC,323.5,325,7.95,6.85,2026-03-30
KOTAKBANK,427.7,400,31.5,2.15,2026-03-30
LT,4259.2,4260,121.85,86.0,2026-03-30
SBIN,1223.3,1220,39.95,28.65,2026-03-30
BHARTIARTL,1941.0,1940,54.6,39.1,2026-03-30
AXISBANK,1387.6,1400,27.0,36.4,2026-03-30
BAJFINANCE,1023.55,1000,42.2,16.1,2026-03-30
HINDUNILVR,2358.6,2360,57.0,40.85,2026-03-30
ASIANPAINT,2413.1,2420,64.95,55.0,2026-03-30
MARUTI,14926.0,14900,406.8,301.8,2026-03-30
TITAN,4294.5,4300,108.0,90.0,2026-03-30
HCLTECH,1339.2,1340,64.3,52.4,2026-03-30
M&M,3433.2,3440,97.2,97.65,2026-03-30
SUNPHARMA,1731.8,1740,37.65,33.5,2026-03-30
ADANIENT,2183.0,2180,91.75,68.7,2026-03-30
ULTRACEMCO,12960.0,13000,303.0,272.4,2026-03-30
ONGC,276.5,275,11.7,7.75,2026-03-30
JSWSTEEL,1254.5,1260,39.25,34.5,2026-03-30
POWERGRID,304.8,305,9.5,7.9,2026-03-30
ADANIPORTS,1555.4,1560,52.0,42.65,2026-03-30
TATASTEEL,209.13,210,6.97,6.16,2026-03-30
NTPC,382.75,385,9.9,10.2,2026-03-30
GRASIM,2879.3,2880,69.45,56.45,2026-03-30
BAJAJFINSV,2043.3,2050,54.55,40.05,2026-03-30
HDFCLIFE,734.75,735,23.15,10.8,2026-03-30
INDUSINDBK,931.4,930,32.55,25.5,2026-03-30
SBILIFE,2082.9,2080,56.5,45.0,2026-03-30
WIPRO,200.14,200,8.85,7.6,2026-03-30
HINDALCO,922.85,925,31.8,30.0,2026-03-30
COALINDIA,430.95,430,12.75,9.5,2026-03-30
EICHERMOT,7929.0,7950,210.9,207.65,2026-03-30
BPCL,374.45,375,13.0,11.3,2026-03-30
NESTLEIND,1320.0,1320,34.1,26.0,2026-03-30
BRITANNIA,6162.5,6150,161.65,125.1,2026-03-30
TECHM,1345.4,1340,68.7,49.6,2026-03-30
DIVISLAB,6255.5,6250,203.25,139.0,2026-03-30
CIPLA,1326.7,1320,43.5,23.9,2026-03-30
TATACONSUM,1178.0,1180,33.5,26.0,2026-03-30
APOLLOHOSP,7721.0,7700,183.85,132.0,2026-03-30
HEROMOTOCO,5511.0,5500,179.75,138.1,2026-03-30
BAJAJ-AUTO,9829.0,9850,230.0,284.25,2026-03-30
DRREDDY,1300.2,1300,38.55,31.0,2026-03-30
BEL,435.05,435,14.4,13.05,2026-03-30
TRENT,3931.3,3940,143.0,125.0,2026-03-30
